ar4.nordvpn.com,131.255.7.84
ar8.nordvpn.com,190.105.235.82
ar9.nordvpn.com,131.255.4.122
ar10.nordvpn.com,131.255.4.237
ar11.nordvpn.com,131.255.4.60
ar12.nordvpn.com,131.255.7.33
ar13.nordvpn.com,131.255.7.75
ar14.nordvpn.com,131.255.4.37
ar15.nordvpn.com,131.255.4.94
ar16.nordvpn.com,131.255.7.82
ar17.nordvpn.com,131.255.7.78
ar18.nordvpn.com,131.255.4.111
ar19.nordvpn.com,131.255.4.89
ar20.nordvpn.com,131.255.4.30
ar21.nordvpn.com,131.255.4.83
ar22.nordvpn.com,131.255.4.210
ar23.nordvpn.com,131.255.4.86
ar24.nordvpn.com,131.255.4.147
ar25.nordvpn.com,131.255.4.232
